pose_command_0,pose_command_1,pose_command_2,pose_command_3,pose_command_4,pose_command_5,pose_command_6
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
0.582186814566789,0.0336391875650942,0.440300015208958,6.10795101290928E-17,0.0706085794531717,0.997504099494135,-4.32352854098342E-18
